"Job Offer Title";"Researcher Profile";"Company";"Fields";"Hours/Week";"Country";"City";"Where to Apply";"More Info"
"Postdoc – Transfer Learning Methods for Deep Learning in Scientific Applications";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Jülich Research Centre (FZJ)";"Computer science ,Technology";"";"Germany";"Jülich";"https://www.fz-juelich.de/SharedDocs/Stellenangebote/_common/dna/2021-299-EN-IAS-8.html?nn=722038";"https://euraxess.ec.europa.eu/jobs/684482"
"Postdoc position to study neural circuits of visual tracking";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Flanders Institute for Biotechnology (VIB)";"Neurosciences ,Physics ,Technology";"";"Belgium";"Leuven";"https://jobs.vib.be/j/38080/postdoc-position-to-study-neural-circuits-of-visual-tracking?source=naturecareers";"https://euraxess.ec.europa.eu/jobs/684719"
"PhD Student in Information systems";"First Stage Researcher (R1)";"Luleå University of Technology";"Computer science, Other";"";"Sweden";"Luleå";"https://www.ltu.se/ltu/Lediga-jobb?l=en&rmpage=job&rmjob=5151";"https://euraxess.ec.europa.eu/jobs/703877"
"PhD Position in Synthetic Biology / Structural Biology";"First Stage Researcher (R1)";"ETH Zurich";"Biological sciences, Chemistry, Other";"41";"Switzerland";"Zurich";"https://academicpositions.com/ad/eth-zurich/2021/phd-position-in-synthetic-biology-structural-biology/165313";"https://euraxess.ec.europa.eu/jobs/703772"
"Postdoctoral researcher on Project in Machine Learning for Medical Image Computing";"Established Researcher (R3) , Recognised Researcher (R2)";"University of Luxembourg";"Computer science ,Technology";"40";"Luxembourg";"Belval";"https://uniluxembourg.recruitmentplatform.com/apply.html?jobId=P4CFK026203F3VBQB7V7VV4AO-100633&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/702644"
"Wissenschaftler (w/m/d) im HMC Projekt FAIR WISH";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Helmholtz Centre Potsdam - German Research Centre for Geosciences (GFZ)";"";"";"Germany";"Potsdam";"https://gfz-potsdam.concludis.de/prj/shw/1134ac57b5b1d38b7d70c1b6feaa28cf_0/5536/Wissenschaftler_w_m_d_im_HMC_Projekt_FAIR_WISH.htm?stellort=7&lang=de_DE&xid=27";"https://euraxess.ec.europa.eu/jobs/702067"
"Senior Researcher on Applied Artificial Intelligence";"Recognised Researcher (R2)";"University of Antwerp";"Computer science, Engineering, Other";"38";"Belgium";"Antwerpen";"https://academicpositions.com/ad/university-of-antwerp/2021/senior-researcher-on-applied-artificial-intelligence/165082";"https://euraxess.ec.europa.eu/jobs/701049"
"Project Manager Applied Artificial Intelligence for Mobility and Logistics";"Recognised Researcher (R2)";"University of Antwerp";"Computer science, Economics, Other";"38";"Belgium";"Antwerpen";"https://academicpositions.com/ad/university-of-antwerp/2021/project-manager-applied-artificial-intelligence-for-mobility-and-logistics/165081";"https://euraxess.ec.europa.eu/jobs/701048"
"Tenure-Track Position in COMPUTER SCIENCE WITH A FOCUS ON HUMAN-COMUTER-INTERACTION";"Recognised Researcher (R2)";"Universitaet Innsbruck";"Computer science";"40";"Austria";"Innsbruck";"mailto:fss-technik@uibk.ac.at";"https://euraxess.ec.europa.eu/jobs/699605"
"PIANISM_2021-02 (# of pos: 2)";"First Stage Researcher (R1)";"Instituto Superior de Engenharia do Porto";"Engineering, Computer engineering";"";"Portugal";"Porto";"mailto:mgt@isep.ipp.pt";"https://euraxess.ec.europa.eu/jobs/699216"
"Lecturer/Teaching Fellow/Assistant Professor/Associate Professor/Senior Associate Professor";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"XIAN JIAOTONG LIVERPOOL UNIVERSITY (XJTLU)";"Economics ,Mathematics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269361/lecturer-teaching-fellow-assistant-professor-associate-professor-senior-associate-professor/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-03";"https://euraxess.ec.europa.eu/jobs/699490"
"3-4 Senior Researchers to the FLUX Consortium (INVEST)";"Recognised Researcher (R2)";"University of Turku";"Sociology, Other";"38";"Finland";"Turku";"https://academicpositions.com/ad/university-of-turku/2021/3-4-senior-researchers-to-the-flux-consortium-invest/164885";"https://euraxess.ec.europa.eu/jobs/699362"
"Research Assistant Professor Recruitment Program";"First Stage Researcher (R1) , Recognised Researcher (R2)";"UNIVERSITY OF MACAU";"Biological sciences ,Economics ,Educational sciences ,Engineering ,Mathematics ,Medical sciences ,Physics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/268922/research-assistant-professor-recruitment-program/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-03";"https://euraxess.ec.europa.eu/jobs/698539"
"Senior Lecturer/Associate Professor in Algorithms and Fairness";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"UNIVERSITY OF MELBOURNE";"Engineering";"";"Australia";"";"https://www.timeshighereducation.com/unijobs/listing/268667/senior-lecturer-associate-professor-in-algorithms-and-fairness/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-03";"https://euraxess.ec.europa.eu/jobs/697382"
"Senior Lecturer/Associate Professor, Digital Ethics";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"UNIVERSITY OF MELBOURNE";"Engineering ,Ethics in social sciences ,History ,Philosophy ,Religious sciences ,Sociology";"";"Australia";"";"https://www.timeshighereducation.com/unijobs/listing/268678/senior-lecturer-associate-professor-digital-ethics/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-03";"https://euraxess.ec.europa.eu/jobs/697386"
"SENIOR LECTURER/ASSOCIATE PROFESSOR DIGITAL ETHICS";"First Stage Researcher (R1) , Established Researcher (R3)";"University of Melbourne";"Engineering, Computer engineering";"40";"Australia";"Parkville";"https://jobs.unimelb.edu.au/caw/en/job/906636/senior-lecturerassociate-professor-digital-ethics";"https://euraxess.ec.europa.eu/jobs/696432"
"SENIOR LECTURER/ASSOCIATE PROFESSOR IN ALGORITHMS AND FAIRNESS";"First Stage Researcher (R1) , Established Researcher (R3)";"University of Melbourne";"Engineering, Computer engineering";"40";"Australia";"Parkville";"https://uom.dc2.pageuppeople.com/beta/v5.3/provider/manageJobs/editJob.asp?sData=UFUtVjMt%2Bc62bARuIDjWVb7AzW8JqqCR8yw13bvx14gPhR0%2Bpu0JrV%2BdyN4L0yLHMmeOMJD7ZVIJSIrew44kzRBcijzxS8hluY0ql91KnaWwoj51Z/Q%3D#_";"https://euraxess.ec.europa.eu/jobs/696347"
"Postdoctoral researcher in Artificial Intelligence / Natural Language Processing";"Established Researcher (R3) , Recognised Researcher (R2)";"University of Luxembourg";"Computer science ,Language sciences";"40";"Luxembourg";"Belval";"https://uniluxembourg.recruitmentplatform.com/apply.html?jobId=P4CFK026203F3VBQB7V7VV4AO-99950&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/695589"
"Bioinformatician / Cloud and Workflow Engineer";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"German Cancer Research Center in the Helmholtz Association (DKFZ)";"Biological sciences ,Computer science";"";"Germany";"Heidelberg";"https://relaxx.center/r/3ae8713a8d7f4c8e9ea5a779fc1c3922?pid=1278133&mpid=1084771&prid=1006624&tid=30";"https://euraxess.ec.europa.eu/jobs/694854"
"Wissenschaftler (w/m/d) im HMC Projekt FAIR WISH";"Recognised Researcher (R2) , Established Researcher (R3)";"Helmholtz-Zentrum Potsdam - Deutsches GeoForschungsZentrum GFZ";"Geosciences";"";"Germany";"Potsdam";"mailto:bewerbungen@gfz-potsdam.de";"https://euraxess.ec.europa.eu/jobs/700992"
"Associate Professor for Computational Cognitive Science and Modelling";"Recognised Researcher (R2) , Established Researcher (R3)";"University of Luxembourg";"Computer science ,Neurosciences";"40";"Luxembourg";"Belval";"http://emea3.mrted.ly/2twa9";"https://euraxess.ec.europa.eu/jobs/693440"
"Scientific Full-Stack Java Developer";"First Stage Researcher (R1)";"University of Luxembourg";"Computer science";"40";"Luxembourg";"Belval";"https://emea3.recruitmentplatform.com/apply-app/pages/application-form?jobId=P4CFK026203F3VBQB7V7VV4AO-99659";"https://euraxess.ec.europa.eu/jobs/693032"
"Call for Senior Research Scientist in Scientific Computing at Simula Research Laboratory";"Recognised Researcher (R2)";"Simula Research Laboratory";"Computer science";"37.5";"Norway";"Oslo";"https://www.simula.no/about/job/call-senior-research-scientist-scientific-computing-simula-research-laboratory";"https://euraxess.ec.europa.eu/jobs/686070"
"Postdoc / staff scientist in computer-aided, structure based drug discovery (f/m/x)";"Recognised Researcher (R2) , Established Researcher (R3)";"Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt";"Medical sciences";"";"Germany";"Neuherberg (bei München)";"https://jobs.helmholtz-muenchen.de/jobposting/662bdc041a6913f252029300796c976099da5cc3?ref=helmholtz";"https://euraxess.ec.europa.eu/jobs/682378"
"Postdoc / staff scientist in computer-aided, structure based drug discovery (f/m/x)";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU)";"Biological sciences ,Chemistry ,Computer science ,Mathematics ,Medical sciences ,Physics";"";"Germany";"Neuherberg (bei München)";"https://jobs.helmholtz-muenchen.de/jobposting/662bdc041a6913f252029300796c976099da5cc3?ref=helmholtz";"https://euraxess.ec.europa.eu/jobs/684033"
"Doctoral Candidate in computational physics";"First Stage Researcher (R1)";"Aalto University";"Mathematics, Computational mathematics ,Mathematics, Physics, Solid state physics";"38";"Finland";"Espoo";"https://academicpositions.com/ad/aalto-university/2021/doctoral-candidate-in-computational-physics/162974";"https://euraxess.ec.europa.eu/jobs/678356"
"Research Associate (Postdoc) on Artificial Intelligence in Financial Services / FinTech";"Established Researcher (R3) , Recognised Researcher (R2)";"University of Luxembourg";"Computer science ,Engineering ,Information science ,Mathematics ,Physics ,Technology";"40";"Luxembourg";"Kirchberg";"https://uniluxembourg.recruitmentplatform.com/apply.html?jobId=P4CFK026203F3VBQB7V7VV4AO-97086&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/678234"
"Bioinformatics software developer";"Established Researcher (R3) , Leading Researcher (R4)";"STALICLA DDS";"Biological sciences, Biological engineering ,Computer science, Informatics ,Technology, Biotechnology";"40";"Spain";"Barcelona";"mailto:hr-dds@stalicla.com";"https://euraxess.ec.europa.eu/jobs/665275"
"Postdoc - Statistical Geneticist (f/m/x)";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU)";"Biological sciences ,Computer science ,Medical sciences";"";"Germany";"Neuherberg (bei München)";"https://jobs.helmholtz-muenchen.de/jobposting/534895b67a1e9bcba1b7a581b8134c51eb54ea63?ref=helmholtz";"https://euraxess.ec.europa.eu/jobs/684690"
"Postdoc - Statistical Geneticist (f/m/x)";"Recognised Researcher (R2) , Established Researcher (R3)";"Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt";"Medical sciences";"";"Germany";"Neuherberg (bei München)";"https://jobs.helmholtz-muenchen.de/jobposting/534895b67a1e9bcba1b7a581b8134c51eb54ea63?ref=helmholtz";"https://euraxess.ec.europa.eu/jobs/661323"
"Research Associate (Postdoc) on Artificial Intelligence in Financial Services / FinTech";"Recognised Researcher (R2)";"University of Luxembourg";"Computer science, Other";"";"Luxembourg";"Luxembourg";"https://uniluxembourg.recruitmentplatform.com/apply.html?jobId=P8SFK026203F3VBQB7V7VV4FL-97087&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/654150"
"Postdoctoral Researcher in Bioinformatics/Toxicoinformatics, 1.0 fte (4yrs) - Faculty of Health,...";"Recognised Researcher (R2)";"Maastricht University (UM)";"Medical sciences ,Technology";"38.0";"Netherlands";"Maastricht";"https://www.academictransfer.com/305290/postdoctoral-researcher-in-bioinformaticstoxicoinformatics-10-fte-4yrs-faculty-of-health-medicine-and-life-sciencesschool-nutrimdepartment-of-bioinformatics-bigcat-in-collaboration-with-tno-utrecht/apply/#apply";"https://euraxess.ec.europa.eu/jobs/697018"
"Data Scientist";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3)";"Centro de Biología Molecular Severo Ochoa";"Biological sciences, Computer science, Programming";"37.5";"Spain";"Madrid";"mailto:m.llorens@csic.es";"https://euraxess.ec.europa.eu/jobs/692406"
"PhD Fellowship in Control Theory";"First Stage Researcher (R1)";"University of Stavanger";"Engineering, Technology, Information technology";"37,5";"Norway";"Stavanger";"https://www.jobbnorge.no/en/available-jobs/job/213600/phd-fellowship-in-control-theory";"https://euraxess.ec.europa.eu/jobs/700332"
"Research Assistant in Whole genome sequencing of bacteria producing natural products";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Technical University of Denmark (DTU)";"Biological sciences ,Engineering ,Technology";"";"Denmark";"2800 Kgs. Lyngby";"http://www.dtu.dk/english/career";"https://euraxess.ec.europa.eu/jobs/704505"
"Postdoctoral researcher on Project in Machine Learning for Medical Image Computing";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"University of Luxembourg";"Biological sciences ,Computer science ,Juridical sciences ,Medical sciences ,Neurosciences";"";"Luxembourg";"Luxembourg";"https://emea3.recruitmentplatform.com/syndicated/private/syd_apply.cfm?ID=PSAFK026203F3VBQB7V7VV4I3&nPostingTargetId=100632&nPostingId=69196";"https://euraxess.ec.europa.eu/jobs/703065"
"Full-stack Scientific Python developer";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"University of Luxembourg";"Biological sciences ,Computer science ,Juridical sciences ,Mathematics ,Medical sciences ,Technology";"";"Luxembourg";"Luxembourg";"https://emea3.recruitmentplatform.com/syndicated/private/syd_apply.cfm?ID=PSAFK026203F3VBQB7V7VV4I3&nPostingTargetId=99380&nPostingId=68136";"https://euraxess.ec.europa.eu/jobs/699994"
"Scientific-full-stack Java software developer";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"University of Luxembourg";"Biological sciences ,Computer science ,Medical sciences";"";"Luxembourg";"Luxembourg";"https://emea3.recruitmentplatform.com/syndicated/private/syd_apply.cfm?ID=PSAFK026203F3VBQB7V7VV4I3&nPostingTargetId=98519&nPostingId=63236";"https://euraxess.ec.europa.eu/jobs/700008"
"Researcher, Data and Al-driven Smart City Applications";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"MASARYK UNIVERSITY";"Engineering ,Mathematics ,Physics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269420/researcher-data-and-al-driven-smart-city-applications/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-03";"https://euraxess.ec.europa.eu/jobs/699885"
"PhD students with a focus on digital transformation of companies, NorrlandsNavet";"First Stage Researcher (R1)";"Luleå University of Technology";"Computer science, Computer systems";"";"Sweden";"Luleå";"https://www.ltu.se/ltu/Lediga-jobb?l=en&rmpage=job&rmjob=5104";"https://euraxess.ec.europa.eu/jobs/699122"
"PhD Scholarship in Synthetic Biology of Natural Products";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Technical University of Denmark (DTU)";"Biological sciences ,Chemistry ,Engineering ,Medical sciences ,Technology";"";"Denmark";"2800 Kgs. Lyngby";"http://www.dtu.dk/english/career";"https://euraxess.ec.europa.eu/jobs/697494"
"Postdoctoral position in cancer epidemiology";"First Stage Researcher (R1)";"Inserm";"Medical sciences, Other";"35";"France";"Villejuif";"mailto:alexandra-cristina.paunescu@gustaveroussy.fr";"https://euraxess.ec.europa.eu/jobs/696626"
"Bioinformatician";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"European Molecular Biology Laboratory (EMBL)";"Biological sciences ,Engineering ,Medical sciences ,Technology";"";"United Kingdom";"Hinxton, Cambridge";"https://emea3.recruitmentplatform.com/apply-app/pages/application-form?jobId=QHPFK026203F3VBQB688N79SB-4623&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/694877"
"Research Assistant in Yeast Synthetic Biology";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Technical University of Denmark (DTU)";"Biological sciences ,Engineering ,Philosophy ,Technology";"";"Denmark";"2800 Kgs. Lyngby";"http://www.dtu.dk/english/career";"https://euraxess.ec.europa.eu/jobs/694878"
"Teaching Fellow/Assistant Professor/Associate Professor in Accounting";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"XIAN JIAOTONG LIVERPOOL UNIVERSITY (XJTLU)";"Economics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/266010/teaching-fellow-assistant-professor-associate-professor-in-accounting-/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/685712"
"Research Grant";"First Stage Researcher (R1)";"University of Aveiro";"Other";"40";"Portugal";"Aveiro";"mailto:dcspt-getin@ua.pt";"https://euraxess.ec.europa.eu/jobs/699782"
"Associate Professor for Computational Cognitive Science and Modelling";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"University of Luxembourg";"Computer science ,Educational sciences ,Juridical sciences ,Language sciences ,Mathematics ,Neurosciences ,Psychological sciences";"";"Luxembourg";"Luxembourg";"https://emea3.recruitmentplatform.com/syndicated/private/syd_apply.cfm?ID=PSAFK026203F3VBQB7V7VV4I3&nPostingTargetId=98820&nPostingId=67976";"https://euraxess.ec.europa.eu/jobs/699993"
"Postdoctoral Fellowship in Educational Technology";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY - NTNU";"Engineering ,Mathematics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/268571/postdoctoral-fellowship-in-educational-technology/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-03";"https://euraxess.ec.europa.eu/jobs/696910"
"PhD scholarship within the fields of Information Systems and Human-Computer Interaction";"First Stage Researcher (R1)";"Copenhagen Business School";"Economics";"37";"Denmark";"Copenhagen";"https://candidate.hr-manager.net/ApplicationInit.aspx?cid=1309&ProjectId=146220&DepartmentId=19013&MediaId=4627&SkipAdvertisement=true";"https://euraxess.ec.europa.eu/jobs/696162"
"Postdoc position within microbial foods to explore gastronomic and textural properties of...";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Technical University of Denmark (DTU)";"Engineering ,Technology";"";"Denmark";"2800 Kgs. Lyngby";"http://www.dtu.dk/english/career";"https://euraxess.ec.europa.eu/jobs/696046"
"Funded biomedical engineering PhD for personal health data sharing project";"First Stage Researcher (R1)";"The University of British Columbia (UBC)";"Computer science, Systems design ,Engineering, Biomedical engineering ,Technology, Interface technology";"40";"Canada";"Vancouver";"mailto:mgorges@bcchr.ubc.ca";"https://euraxess.ec.europa.eu/jobs/695457"
"PhD scholarship within veterinary epidemiology";"First Stage Researcher (R1)";"Norwegian University of Life Sciences (NMBU)";"Mathematics, Applied mathematics ,Medical sciences, Veterinary medicine";"40";"Norway";"Ås";"https://universitypositions.eu/jobs/phd-scholarship-within-veterinary-epidemiology/92741";"https://euraxess.ec.europa.eu/jobs/687908"
"Postdoc on computational biology in the Machine Learning Group (f/m/x)";"Recognised Researcher (R2) , Established Researcher (R3)";"Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt";"Medical sciences";"";"Germany";"Neuherberg (bei München)";"https://jobs.helmholtz-muenchen.de/jobposting/9fa771a1e022809263a5050f9a1947c280155477?ref=helmholtz";"https://euraxess.ec.europa.eu/jobs/676909"
